draw,M,C,L,KD,MP,S,V,SD,ÖVR,bloc_1,bloc_2
341,71,25,19,22,22,99,29,62,0,175,174
342,71,25,19,22,22,99,29,62,0,175,174
343,71,25,19,22,21,99,30,62,0,175,174
344,70,25,19,22,22,99,30,62,0,176,173
345,70,25,19,22,22,99,31,61,0,177,172
346,70,25,19,22,22,100,30,61,0,177,172
347,71,25,19,22,22,99,29,62,0,175,174
348,71,25,19,22,22,99,29,62,0,175,174
349,70,25,19,22,22,99,30,62,0,176,173
350,71,25,19,22,22,99,29,62,0,175,174
351,70,25,20,22,22,98,30,62,0,175,174
352,71,25,19,22,22,99,29,62,0,175,174
353,70,25,19,22,22,99,30,62,0,176,173
354,71,25,19,22,22,99,29,62,0,175,174
355,71,25,19,22,22,99,30,61,0,176,173
356,71,25,19,21,22,99,30,62,0,176,173
357,71,25,19,22,22,99,30,61,0,176,173
358,71,25,19,22,22,99,29,62,0,175,174
359,71,25,19,22,22,99,29,62,0,175,174
360,71,25,19,22,22,98,29,63,0,174,175
361,70,24,19,22,22,100,30,62,0,176,173
362,71,25,19,22,21,99,30,62,0,175,174
363,71,25,19,22,22,99,29,62,0,175,174
364,71,25,19,22,22,99,29,62,0,175,174
365,71,25,19,22,22,99,29,62,0,175,174
366,71,25,19,22,22,99,29,62,0,175,174
367,70,25,19,22,21,100,30,62,0,176,173
368,71,25,19,22,22,98,30,62,0,175,174
369,71,25,19,22,22,99,29,62,0,175,174
370,70,25,19,22,22,99,30,62,0,176,173
371,70,25,19,22,22,99,30,62,0,176,173
372,71,25,19,22,22,99,29,62,0,175,174
373,70,25,19,22,22,100,29,62,0,176,173
374,71,25,19,22,22,99,29,62,0,175,174
375,71,25,19,22,22,98,30,62,0,175,174
376,70,25,19,22,22,99,30,62,0,176,173
377,70,25,19,22,22,99,30,62,0,176,173
378,71,25,19,22,21,99,30,62,0,175,174
379,70,25,19,22,22,99,30,62,0,176,173
380,71,25,19,22,22,99,30,61,0,176,173
381,71,26,19,22,22,98,29,62,0,175,174
382,71,25,19,22,22,98,30,62,0,175,174
383,71,25,19,22,22,99,29,62,0,175,174
384,71,25,19,22,22,99,29,62,0,175,174
385,70,25,19,22,22,98,30,63,0,175,174
386,71,25,20,22,22,99,29,61,0,175,174
387,71,26,19,22,22,99,29,61,0,176,173
388,71,25,19,22,21,99,30,62,0,175,174
389,71,25,19,22,22,98,30,62,0,175,174
390,70,25,19,22,22,99,30,62,0,176,173
391,71,25,19,22,22,99,30,61,0,176,173
392,71,25,19,22,22,99,29,62,0,175,174
393,70,25,19,22,22,99,30,62,0,176,173
394,71,25,19,22,22,99,29,62,0,175,174
395,71,25,19,22,22,99,29,62,0,175,174
396,70,25,19,22,22,99,30,62,0,176,173
397,71,25,19,22,22,99,30,61,0,176,173
398,71,25,19,21,22,99,30,62,0,176,173
399,70,25,19,22,22,100,29,62,0,176,173
400,72,25,20,22,22,97,29,62,0,173,176
401,71,26,19,22,22,98,29,62,0,175,174
402,70,25,19,22,22,99,30,62,0,176,173
403,70,25,19,22,22,99,30,62,0,176,173
404,71,25,19,22,22,98,30,62,0,175,174
405,71,25,19,22,22,99,29,62,0,175,174
406,70,25,19,22,22,100,30,61,0,177,172
407,70,25,19,22,22,99,30,62,0,176,173
408,71,25,19,22,22,99,30,61,0,176,173
409,71,25,19,22,22,99,29,62,0,175,174
410,71,25,19,22,22,99,29,62,0,175,174
411,71,25,19,22,22,99,29,62,0,175,174
412,70,25,19,22,22,99,30,62,0,176,173
413,71,25,19,22,22,99,29,62,0,175,174
414,70,25,19,22,22,99,30,62,0,176,173
415,70,25,19,22,22,100,30,61,0,177,172
416,71,25,19,22,22,99,29,62,0,175,174
417,70,25,19,22,22,99,30,62,0,176,173
418,70,25,19,22,22,99,30,62,0,176,173
419,70,25,19,22,22,99,30,62,0,176,173
420,71,25,19,22,22,99,30,61,0,176,173
421,71,26,19,22,22,98,29,62,0,175,174
422,71,25,19,22,22,98,30,62,0,175,174
423,71,26,19,22,22,98,29,62,0,175,174
424,71,25,19,22,22,99,29,62,0,175,174
425,71,25,19,22,21,99,30,62,0,175,174
426,70,25,19,22,22,99,30,62,0,176,173
427,71,25,19,22,22,98,30,62,0,175,174
428,71,25,19,22,22,99,29,62,0,175,174
429,70,25,19,22,22,99,29,63,0,175,174
430,71,25,19,22,22,99,29,62,0,175,174
431,70,25,19,22,22,99,30,62,0,176,173
432,71,25,19,22,21,99,30,62,0,175,174
433,70,25,19,22,22,99,30,62,0,176,173
434,71,25,19,22,22,99,29,62,0,175,174
435,70,25,19,22,22,99,30,62,0,176,173
436,70,25,19,22,22,99,30,62,0,176,173
437,70,25,19,22,22,99,30,62,0,176,173
438,70,25,19,22,22,99,30,62,0,176,173
439,72,25,19,22,22,99,29,61,0,175,174
440,70,25,19,22,22,99,30,62,0,176,173
441,72,25,19,22,22,98,29,62,0,174,175
442,71,25,19,22,22,99,30,61,0,176,173
443,71,25,19,22,22,99,29,62,0,175,174
444,70,25,19,22,22,99,30,62,0,176,173
445,71,25,19,22,22,99,29,62,0,175,174
446,71,25,19,23,21,99,29,62,0,174,175
447,70,25,19,22,21,99,31,62,0,176,173
448,71,25,19,21,22,99,30,62,0,176,173
449,70,25,19,22,22,100,30,61,0,177,172
450,70,25,19,22,22,99,30,62,0,176,173
451,71,25,19,22,22,99,30,61,0,176,173
452,70,25,19,22,22,99,30,62,0,176,173
453,71,25,20,22,22,98,29,62,0,174,175
454,70,25,19,22,22,100,30,61,0,177,172
455,71,25,19,23,21,99,29,62,0,174,175
456,71,25,18,22,21,100,31,61,0,177,172
457,72,25,19,22,21,99,30,61,0,175,174
458,70,25,19,22,21,100,30,62,0,176,173
459,70,25,19,22,22,99,30,62,0,176,173
460,70,25,19,22,22,100,29,62,0,176,173
461,71,25,19,22,22,99,30,61,0,176,173
462,70,25,19,22,22,99,30,62,0,176,173
463,71,25,19,22,22,99,29,62,0,175,174
464,71,25,19,22,22,99,29,62,0,175,174
465,70,25,19,22,22,99,30,62,0,176,173
466,70,25,20,22,23,98,30,61,0,176,173
467,71,25,19,22,22,98,30,62,0,175,174
468,71,25,19,22,21,99,30,62,0,175,174
469,70,25,19,22,22,99,30,62,0,176,173
470,70,25,20,22,22,99,29,62,0,175,174
471,71,25,19,22,22,99,29,62,0,175,174
472,70,25,19,22,22,99,30,62,0,176,173
473,70,25,19,22,22,99,30,62,0,176,173
474,71,25,19,22,22,99,29,62,0,175,174
475,71,25,19,22,22,99,30,61,0,176,173
476,71,25,19,22,22,99,29,62,0,175,174
477,71,25,19,22,22,99,29,62,0,175,174
478,70,25,19,22,22,99,30,62,0,176,173
479,69,25,19,22,22,100,30,62,0,177,172
480,71,25,19,22,22,99,29,62,0,175,174
481,70,25,19,22,22,100,30,61,0,177,172
482,70,25,19,22,22,99,30,62,0,176,173
483,71,25,19,22,22,99,30,61,0,176,173
484,71,25,20,22,22,98,29,62,0,174,175
485,70,25,19,22,22,99,30,62,0,176,173
486,71,25,19,22,21,100,29,62,0,175,174
487,70,25,19,22,22,100,29,62,0,176,173
488,70,25,19,22,22,99,30,62,0,176,173
489,71,25,19,22,22,99,29,62,0,175,174
490,70,25,19,22,21,100,30,62,0,176,173
491,70,25,19,22,22,99,30,62,0,176,173
492,71,25,19,22,22,99,29,62,0,175,174
493,70,25,19,22,22,99,30,62,0,176,173
494,71,26,19,23,22,98,29,61,0,175,174
495,70,25,19,22,22,99,30,62,0,176,173
496,71,25,19,22,22,99,29,62,0,175,174
497,70,25,19,22,21,100,30,62,0,176,173
498,70,25,19,21,22,100,30,62,0,177,172
499,71,25,19,22,22,99,30,61,0,176,173
500,70,26,19,22,22,99,29,62,0,176,173
501,71,25,19,22,21,99,30,62,0,175,174
502,70,25,19,21,22,100,30,62,0,177,172
503,71,25,19,22,22,98,30,62,0,175,174
504,70,25,19,22,22,99,30,62,0,176,173
505,71,25,19,22,22,99,29,62,0,175,174
506,71,25,19,22,22,99,29,62,0,175,174
507,71,25,19,22,22,99,29,62,0,175,174
508,71,25,19,22,22,99,29,62,0,175,174
509,71,25,19,22,22,98,30,62,0,175,174
510,71,25,19,22,22,99,29,62,0,175,174
511,70,25,19,22,23,99,29,62,0,176,173
512,71,25,19,22,22,99,29,62,0,175,174
513,70,25,19,22,22,99,29,63,0,175,174
514,71,25,19,22,22,98,30,62,0,175,174
515,71,25,19,22,22,99,30,61,0,176,173
516,70,25,19,22,22,99,30,62,0,176,173
517,71,25,19,22,22,100,29,61,0,176,173
518,71,25,19,22,22,99,30,61,0,176,173
519,71,25,19,22,22,99,29,62,0,175,174
520,71,25,19,22,22,99,29,62,0,175,174
521,72,25,19,22,22,98,30,61,0,175,174
522,71,25,19,22,22,98,30,62,0,175,174
523,71,25,19,22,22,99,29,62,0,175,174
524,70,25,19,22,22,99,30,62,0,176,173
525,70,25,19,22,22,99,30,62,0,176,173
526,70,24,19,22,22,100,30,62,0,176,173
527,70,25,19,22,22,99,30,62,0,176,173
528,71,25,19,22,22,99,29,62,0,175,174
529,70,25,19,22,22,99,30,62,0,176,173
530,70,25,19,22,22,99,30,62,0,176,173
531,71,25,19,21,22,99,30,62,0,176,173
532,70,25,19,22,22,99,30,62,0,176,173
533,70,25,19,22,22,100,30,61,0,177,172
534,70,25,19,22,22,99,30,62,0,176,173
535,71,25,19,22,22,99,29,62,0,175,174
536,71,25,19,23,21,99,30,61,0,175,174
537,70,25,19,22,22,99,30,62,0,176,173
538,71,26,19,22,22,98,29,62,0,175,174
539,71,25,19,22,22,99,29,62,0,175,174
540,70,25,19,22,22,99,30,62,0,176,173
541,71,25,19,22,22,99,29,62,0,175,174
542,70,25,19,22,22,100,29,62,0,176,173
543,71,25,19,22,22,99,29,62,0,175,174
544,71,25,19,22,22,99,29,62,0,175,174
545,70,25,19,22,22,98,30,63,0,175,174
546,70,25,19,22,22,99,30,62,0,176,173
547,71,25,19,22,21,99,30,62,0,175,174
548,70,25,20,22,21,100,29,62,0,175,174
549,70,25,19,22,22,99,30,62,0,176,173
550,71,25,19,22,22,98,30,62,0,175,174
551,70,25,19,22,22,99,30,62,0,176,173
552,71,25,19,22,22,98,30,62,0,175,174
553,71,25,19,22,22,98,30,62,0,175,174
554,71,25,19,22,22,99,29,62,0,175,174
555,71,25,19,22,22,99,29,62,0,175,174
556,71,25,19,22,22,99,29,62,0,175,174
557,71,25,19,22,22,99,29,62,0,175,174
