code,municipality,county,constituency,constituency_name,name,electorate,kind,baseline_source,prior_rate,expected_votes,old_codes,prior_M,prior_C,prior_L,prior_KD,prior_MP,prior_S,prior_V,prior_SD,prior_ÖVR
01170002,0117,01,02,Stockholms län,Berga SÖ,1441,ordinary,municipality_residual,0.801649793775778,1155.177352830896,,0.24307907954678193,0.065062492699451,0.04987735077677841,0.04006541291905151,0.038430089942763694,0.2928396215395398,0.050578203480901765,0.20990538488494334,0.010162364209788576
01170003,0117,01,02,Stockholms län,Björksättra-Högsättra,1247,ordinary,district_mapping,0.8334707337180544,1039.3380049464138,01170003,0.24569177744953224,0.06154603643525357,0.051698670605613,0.04874446085672083,0.04382077794190054,0.2840965041851305,0.04283604135893648,0.20827178729689808,0.013293943870014771
01170004,0117,01,02,Stockholms län,Brevik,1466,ordinary,district_mapping,0.8705035971223022,1276.158273381295,01170004,0.30094689172498973,0.08522025524907369,0.06463565253190613,0.043227665706051875,0.05640181144503911,0.20790448744339235,0.018526142445450804,0.20955125566076574,0.013585837793330589
01170005,0117,01,02,Stockholms län,Flaxenvik-Grindmossen,1145,ordinary,municipality_residual,0.801649793775778,917.8890138732659,,0.24307907954678193,0.065062492699451,0.04987735077677841,0.04006541291905151,0.038430089942763694,0.2928396215395398,0.050578203480901765,0.20990538488494334,0.010162364209788576
01170006,0117,01,02,Stockholms län,Fredsborg,1901,ordinary,district_mapping,0.8620919387075283,1638.8367754830113,01170006,0.31998459761263,0.1012706969580285,0.08586830958798614,0.05660377358490566,0.05198305737389295,0.195995379283789,0.03273007316134001,0.13515594917212168,0.02040816326530612
01170007,0117,01,02,Stockholms län,Hacksta V,1325,ordinary,district_mapping,0.6506024096385542,862.0481927710844,01170007,0.19976971790443293,0.051237766263673,0.04087507196315487,0.05699481865284974,0.03511801957397812,0.3022452504317789,0.08347725964306275,0.20782959124928038,0.022452504317789293
01170008,0117,01,02,Stockholms län,Hacksta Ö,1305,ordinary,municipality_residual,0.801649793775778,1046.1529808773903,,0.24307907954678193,0.065062492699451,0.04987735077677841,0.04006541291905151,0.038430089942763694,0.2928396215395398,0.050578203480901765,0.20990538488494334,0.010162364209788576
01170009,0117,01,02,Stockholms län,Ljusterö,1880,ordinary,district_mapping,0.8520881670533643,1601.9257540603248,01170009,0.26365795724465557,0.055989141499830336,0.049202578893790296,0.0505598914149983,0.03970139124533424,0.23108245673566338,0.02341364099083814,0.2711231761112996,0.015269765863590091
01170010,0117,01,02,Stockholms län,Margretelund,1463,ordinary,district_mapping,0.8394004282655246,1228.0428265524624,01170010,0.36721728081321475,0.08343922066920796,0.08089792460821686,0.051249470563320625,0.04531977975434138,0.19102075391783144,0.024989411266412537,0.14781872088098263,0.008047437526471834
01170011,0117,01,02,Stockholms län,Roslagskulla-Åsättra,1885,ordinary,district_mapping,0.8215507411630558,1548.62314709236,01170011,0.22864060878588724,0.0688343133863715,0.05292286406087859,0.05292286406087859,0.041854029747492215,0.23625043237634036,0.030093393289519196,0.2770667589069526,0.011414735385679695
01170012,0117,01,02,Stockholms län,Runö,1526,ordinary,district_mapping,0.7553260167850226,1152.6275016139446,01170012,0.2388250319284802,0.05321413367390379,0.04044274159216688,0.04725415070242656,0.04299702000851426,0.2830991911451682,0.05406555981268625,0.22690506598552576,0.01319710515112814
